央视频道,#genre#
河北卫视,http://119.125.104.17:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://119.125.134.181:9901/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://119.125.104.17:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://119.125.104.126:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://119.125.134.181:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://119.125.134.181:9901/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://119.125.134.181:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://119.125.104.17:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://119.125.104.126:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://119.125.134.181:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://119.125.134.251:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://119.125.134.181:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
澳亚卫视,http://119.125.134.181:9901/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://119.125.134.251:9901/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://119.125.134.181:9901/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://119.125.134.251:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://119.125.104.17:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://119.125.104.126:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://119.125.104.17:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://119.125.104.126:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://119.125.134.181:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://119.125.104.17:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://119.125.104.126:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://119.125.134.181:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://119.125.134.251:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://119.125.134.251:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://119.125.134.181:9901/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://119.125.104.17:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://119.125.104.126:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
五华1,http://119.125.134.181:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
五华1,http://119.125.134.251:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
平远1,http://119.125.134.181:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
梅州1,http://119.125.134.181:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
梅州1,http://119.125.134.251:9901/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
2梅州1,http://119.125.134.132:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
2金鹰卡通,http://119.125.134.132:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
梅州2,http://119.125.134.181:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
梅州2,http://119.125.134.251:9901/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
CCTN,http://119.125.134.181:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://119.125.104.17:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://119.125.104.126:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://119.125.104.126:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://119.125.134.181:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://119.125.104.17:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://119.125.134.181:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭电影,http://119.125.104.126:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭电影,http://119.125.104.17:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://119.125.104.17:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://119.125.104.126:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
G导视,http://119.125.134.251:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实,http://119.125.104.17:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实,http://119.125.104.126:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
中国天气,http://119.125.134.181:9901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育,http://119.125.104.17:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育,http://119.125.104.126:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
丰顺综合,http://119.125.134.181:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古,http://119.125.134.251:9901/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://119.125.104.17:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://119.125.104.126:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
动漫秀场,http://119.125.134.181:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
南方一,http://119.125.134.251:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
南方二,http://119.125.134.251:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
南方四,http://119.125.134.251:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://119.125.104.17:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
